table_name,column_name,data_type,is_primary_key,is_foreign_key,references_table,references_column
DEPARTMENTS,DEPARTMENT_ID,NUMBER,true,false,,
DEPARTMENTS,DEPARTMENT_NAME,VARCHAR2(100),false,false,,
EMPLOYEE,EMP_ID,NUMBER,true,false,,
EMPLOYEE,FIRST_NAME,VARCHAR2(50),false,false,,
EMPLOYEE,LAST_NAME,VARCHAR2(50),false,false,,
EMPLOYEE,SALARY,NUMBER,false,false,,
EMPLOYEE,DEPARTMENT_ID,NUMBER,false,true,DEPARTMENTS,DEPARTMENT_ID
BILLING,BILLING_ID,NUMBER,true,false,,
BILLING,DEPARTMENT_ID,NUMBER,false,true,DEPARTMENTS,DEPARTMENT_ID
BILLING,AMOUNT,NUMBER,false,false,,
BILLING,BILLING_DATE,DATE,false,false,,
